symbol,Atomic_Number,Row,Column,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,metallic_valence,atomic weight,atomic radius,covalent radius,Zunger_radii_sum,Ionic radius,crystal radius,electronegativity,Gordy_electonegativity,Ionization Energy,polarizability(A^3),melting point,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,heat_atomization(kJ/mol),cohensive energy,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
La,57,6,3,2,0,1,0,3,0,0,9,0,9,3,1,0,0,13,2,3,138.9055,240,180,3.08,1.95,1.36,1.1,4.5168,5.577,31.1,1191,3737,6.15,195,6.2,400,13,423,4.47,36.8975,0,0,194
Ce,58,6,3,2,0,1,1,4,0,0,9,13,22,3,1,0,0,15,3,3.2,140.116,235,163,4.5,1.85,1.15,1.12,4.5734,5.539,29.6,1071,3697,6.77,192,5.5,350,11,419,4.32,37.24,0,0,194
Pr,59,6,3,2,0,0,3,5,0,0,0,11,11,3,1,0,0,17,3,3.1,140.90766,239,176,4.48,1.85,1.32,1.13,4.6395,5.464,28.2,1204,3793,6.77,193,6.9,330,13,356,3.7,35.675,0,0,194
Nd,60,6,3,2,0,0,4,6,0,0,0,10,10,3,1,0,0,19,3,3.1,144.24,229,174,3.99,1.85,1.3,1.14,4.7152,5.525,31.4,1294,3347,7.01,190,7.1,285,17,328,3.4,34.81,0,0,194
Sm,62,6,3,2,0,0,6,8,0,0,0,8,8,3,1,0,0,23,3,2.8,150.4,229,172,4.14,1.85,1.1,1.17,4.8955,5.644,28.8,1347,2067,7.52,196,8.6,175,13,207,2.14,33.23,0,0,166
Eu,63,6,3,2,0,0,7,9,0,0,0,7,7,3,1,0,0,25,3,2,151.964,233,168,3.94,1.85,1.31,1.2,5.0001,5.67,27.7,1095,1802,5.24,182,9.2,175,14,178,1.86,36.46,0,0,229
Gd,64,6,3,2,0,1,7,10,0,0,9,7,16,3,1,0,0,27,3,3,157.2,237,169,3.91,1.8,1.08,1.2,5.1142,6.15,23.5,1586,3546,7.9,240,10,305,11,398,4.14,32.05,0,0,194
Tb,65,6,3,2,0,0,9,11,0,0,0,5,5,3,1,0,0,29,3,3,158.92535,221,168,3.89,1.75,1.18,1.22,5.238,5.864,25.5,1629,3503,8.23,182,10.8,295,11,389,4.05,31.73666667,0,0,194
Dy,66,6,3,2,0,0,10,12,0,0,0,4,4,3,1,0,0,31,3,3,162.5,229,167,3.67,1.75,1.05,1.23,5.3714,5.939,24.5,1685,2840,8.55,167,11.1,280,11,291,3.04,31.24,0,0,194
Ho,67,6,3,2,0,0,11,13,0,0,0,3,3,3,1,0,0,33,3,3,164.93033,216,166,3.65,1.75,1.04,1.24,5.5143,6.022,23.6,1747,2973,8.8,165,17,265,16,301,3.14,30.73333333,0,0,194
Er,68,6,3,2,0,0,12,14,0,0,0,2,2,3,1,0,0,35,3,3,167.26,235,165,3.63,1.75,1.03,1.24,5.6669,6.108,22.7,1802,3141,9.07,168,19.9,285,15,317,3.29,30.585,0,0,194
Tm,69,6,3,2,0,0,13,15,0,0,0,1,1,3,1,0,0,37,3,3,168.93422,227,164,3.6,1.75,1.02,1.25,5.8291,6.184,21.8,1818,2223,9.32,160,16.8,250,17,232,2.42,29.78,0,0,194
Yb,70,6,3,2,0,0,14,16,0,0,0,0,0,3,1,0,0,39,3,2,173.05,242,170,3.59,1.75,1.13,1.1,6.0009,6.254,21,1092,1469,6.9,154,7.7,160,39,152,1.6,34.12,0,0,225
Lu,71,6,3,2,0,1,14,17,0,0,9,0,9,3,1,0,0,41,2,3,174.9668,221,162,3.37,1.75,1,1.27,6.1824,5.426,21.9,1936,3675,9.84,154,22,415,16,427,4.43,28.865,0,0.0022471,194
Hf,72,6,4,2,0,2,14,18,0,0,8,0,8,4,1,0,0,45,2,4,178.49,212,152,2.91,1.55,0.85,1.3,6.3704,6.825,16.2,2506,4876,13.3,144,25.5,630,23,619,6.44,22.2,0,0,194
Ta,73,6,5,2,0,3,14,19,0,0,7,0,7,4,1,0,0,48,2,5,180.9479,217,146,2.79,1.45,0.78,1.5,6.5738,7.89,13.1,3290,5731,16.4,140,36,735,57,782,8.1,18.12,0,0,229
W,74,6,6,2,0,4,14,20,0,0,6,0,6,4,1,0,0,51,2,5.78,183.84,210,137,2.735,1.35,0.74,2.36,6.7841,7.98,11.1,3695,5828,19.3,132,35,800,170,849,8.9,16.05,0,0,229
Re,75,6,7,2,0,5,14,21,0,0,5,0,5,4,1,0,0,54,2,5.78,186.207,217,131,2.68,1.35,0.77,1.9,7.004,7.88,9.7,3459,5869,20.8,137,33,705,48,770,8.03,14.655,0,0,194
Os,76,6,8,2,0,6,14,22,0,0,4,0,4,4,1,0,0,57,2,5.78,190.2,216,129,2.65,1.3,0.77,2.2,7.2335,8.7,8.5,3306,5285,22.57,130,31,630,88,791,8.17,14.09,0,0,194
Ir,77,6,9,2,0,7,14,23,0,0,3,0,3,4,1,0,0,60,2,5.78,192.22,202,122,2.628,1.35,0.77,2.2,7.4345,9.1,7.6,2719,4701,22.42,131,26,560,150,665,6.94,14.21,0,0,225
Pt,78,6,10,1,0,9,14,24,1,0,1,0,2,4,1,0,0,63,2,5.78,195.08,209,123,2.7,1.35,0.74,2.28,7.7208,9,6.5,2041.55,4098,21.46,133,20,490,72,565,5.84,15.02,0,0,225
Au,79,6,11,1,0,10,14,25,1,0,0,0,1,4,1,0,0,66,2,5.44,196.96657,166,124,2.66,1.35,1.51,2.54,7.9791,9.226,6.1,1337.33,3129,19.282,129.1,12.5,330,320,366,3.81,16.7,0,0,225
Hg,80,6,12,2,0,10,14,26,0,0,0,0,0,4,1,0,0,71,2,4.44,200.59,209,133,2.41,1.5,0.83,2,8.2469,10.438,5.4,234.32,629.88,13.5336,139.5,2.29,59.2,8.3,61,0.67,25.23758621,0,0,166
Tl,81,6,13,2,1,10,14,27,0,5,0,0,5,5,1,0,0,76,1,3.44,204.383,196,144,2.235,1.9,1.03,1.62,4.6618,6.108,7.6,577,1746,11.8,129,4.2,165,46,182,1.88,26.91,0,0,194
Pb,82,6,14,2,2,10,14,28,0,4,0,0,4,5,1,0,0,81,1,2.44,207,202,144,2.09,1.8,1.49,2.33,4.7404,7.417,6.8,600.61,2022,11.342,127,4.77,178,35,196,2.03,28.11,0,0,225
Bi,83,6,15,2,3,10,14,29,0,3,0,0,3,5,1,0,0,86,1,3,208.9804,207,151,1.997,1.6,1.17,2.02,4.8288,7.289,7.4,544.55,1837,9.807,122,10.9,160,8,207,2.18,32.95,0,0,12
Th,90,7,3,2,0,2,0,4,0,0,8,0,8,3,1,0,0,16,2,4,232.038,237,175,4.98,1.8,1.19,1.3,2.8784,6.08,32.1,2023,5061,11.72,118,16,530,54,576,6.2,32.37,0,0,225
U,92,7,3,2,0,1,3,6,0,0,9,11,20,3,1,0,0,20,3,5.78,238.0289,240,170,4.72,1.75,0.87,1.38,3.3168,6.194,27.4,1408,4404,18.95,116,14,420,27,490,5.55,20.025,0,0,63
Pu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
