symbol,atomic radius,Ionic radius,crystal radius,atomic weight,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,cohensive energy,melting point,electronegativity,GSvolume_pa,space group number,Ionization Energy,Electron affinity,Number,MendeleevNumber,Column,Row,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSbandgap,GSmagmom
Tb,221,1.75,1.18,158.92535,3503,8.23,182,10.8,295,11,4.05,1629,1.22,31.73666667,194,5.864,12.67,65,29,3,6,2,0,0,9,11,0,0,0,5,5,0,0
Dy,229,1.75,1.05,162.5,2840,8.55,167,11.1,280,11,3.04,1685,1.23,31.24,194,5.939,1.45,66,31,3,6,2,0,0,10,12,0,0,0,4,4,0,0
Ho,216,1.75,1.04,164.93033,2973,8.8,165,17,265,16,3.14,1747,1.24,30.73333333,194,6.022,32.61,67,33,3,6,2,0,0,11,13,0,0,0,3,3,0,0
Er,235,1.75,1.03,167.26,3141,9.07,168,19.9,285,15,3.29,1802,1.24,30.585,194,6.108,30.1,68,35,3,6,2,0,0,12,14,0,0,0,2,2,0,0
Tm,227,1.75,1.02,168.93422,2223,9.32,160,16.8,250,17,2.42,1818,1.25,29.78,194,6.184,99,69,37,3,6,2,0,0,13,15,0,0,0,1,1,0,0
Yb,242,1.75,1.13,173.05,1469,6.9,154,7.7,160,39,1.6,1092,1.1,34.12,225,6.254,-1.93,70,39,3,6,2,0,0,14,16,0,0,0,0,0,0,0
Lu,221,1.75,1,174.9668,3675,9.84,154,22,415,16,4.43,1936,1.27,28.865,194,5.426,23.04,71,41,3,6,2,0,1,14,17,0,0,9,0,9,0,0.0022471
Hf,212,1.55,0.85,178.49,4876,13.3,144,25.5,630,23,6.44,2506,1.3,22.2,194,6.825,17.18,72,45,4,6,2,0,2,14,18,0,0,8,0,8,0,0
Ta,217,1.45,0.78,180.9479,5731,16.4,140,36,735,57,8.1,3290,1.5,18.12,229,7.89,31.73,73,48,5,6,2,0,3,14,19,0,0,7,0,7,0,0
W,210,1.35,0.74,183.84,5828,19.3,132,35,800,170,8.9,3695,2.36,16.05,229,7.98,78.76,74,51,6,6,2,0,4,14,20,0,0,6,0,6,0,0
Re,217,1.35,0.77,186.207,5869,20.8,137,33,705,48,8.03,3459,1.9,14.655,194,7.88,5.827,75,54,7,6,2,0,5,14,21,0,0,5,0,5,0,0
Os,216,1.3,0.77,190.2,5285,22.57,130,31,630,88,8.17,3306,2.2,14.09,194,8.7,103.978,76,57,8,6,2,0,6,14,22,0,0,4,0,4,0,0
Ir,202,1.35,0.77,192.22,4701,22.42,131,26,560,150,6.94,2719,2.2,14.21,225,9.1,150.908,77,60,9,6,2,0,7,14,23,0,0,3,0,3,0,0
Pt,209,1.35,0.74,195.08,4098,21.46,133,20,490,72,5.84,2041.55,2.28,15.02,225,9,205.041,78,63,10,6,1,0,9,14,24,1,0,1,0,2,0,0
Au,166,1.35,1.51,196.96657,3129,19.282,129.1,12.5,330,320,3.81,1337.33,2.54,16.7,225,9.226,222.747,79,66,11,6,1,0,10,14,25,1,0,0,0,1,0,0
Hg,209,1.5,0.83,200.59,629.88,13.5336,139.5,2.29,59.2,8.3,0.67,234.32,2,25.23758621,166,10.438,-48,80,71,12,6,2,0,10,14,26,0,0,0,0,0,0,0
Tl,196,1.9,1.03,204.383,1746,11.8,129,4.2,165,46,1.88,577,1.62,26.91,194,6.108,30.88,81,76,13,6,2,1,10,14,27,0,5,0,0,5,0,0
Pb,202,1.8,1.49,207,2022,11.342,127,4.77,178,35,2.03,600.61,2.33,28.11,225,7.417,34.418,82,81,14,6,2,2,10,14,28,0,4,0,0,4,0,0
Bi,207,1.6,1.17,208.9804,1837,9.807,122,10.9,160,8,2.18,544.55,2.02,32.95,12,7.289,90.924,83,86,15,6,2,3,10,14,29,0,3,0,0,3,0,0
Po,197,1.9,1.08,208.98243,1235,9.32,,13,100,,1.5,527,2,38.73125,221,8.417,136,84,91,16,6,2,4,10,14,30,0,2,0,0,2,0,0
At,202,1.27,0.76,209.98715,,7,,6,40,2,,575,2.2,38.73125,,9.5,233.087,85,97,17,6,2,5,10,14,31,0,1,0,0,1,0,0
Rn,220,1.2,,222.01758,211.45,0.00973,93.65,3,17,0.00361,0.202,202,,38.73125,,10.745,-68,86,103,18,6,2,6,10,14,32,0,0,0,0,0,0,0
Fr,348,,1.94,223.01973,,,,2,65,,,300,0.7,38.73125,,3.9,46.89,87,6,1,7,1,0,0,0,1,1,0,0,0,1,0,0
Ra,283,2.15,1.62,226.02541,1413,5,92,8,125,19,1.66,973,0.89,38.73125,229,5.279,9.648,88,10,2,7,2,0,0,0,2,0,0,0,0,0,0,0
Ac,260,1.95,1.26,227.02775,3471,10.07,120,14,400,12,4.25,1324,1.1,44.5125,225,5.17,33.77,89,14,3,7,2,0,1,0,3,0,0,9,0,9,0,0
Th,237,1.8,1.19,232.038,5061,11.72,118,16,530,54,6.2,2023,1.3,32.37,225,6.08,58.633,90,16,3,7,2,0,2,0,4,0,0,8,0,8,0,0
Pa,243,1.8,1.09,231.03588,,15.37,99.1,15,470,47,,1845,1.5,25.18,139,5.89,53.03,91,18,3,7,2,0,1,2,5,0,0,9,12,21,0,0
U,240,1.75,0.87,238.0289,4404,18.95,116,14,420,27,5.55,1408,1.38,20.025,63,6.194,30.39,92,20,3,7,2,0,1,3,6,0,0,9,11,20,0,0
Np,221,1.75,,237.048172,4175,20.25,,10,335,6,4.73,917,1.36,18.45375,62,6.266,45.85,93,22,3,7,2,0,1,4,7,0,0,9,10,19,0,0
Pu,243,1.75,1,244.0642,3501,19.84,,,325,6,3.6,913,1.28,18.08,11,6.06,-48.33,94,24,3,7,2,0,0,6,8,0,0,0,8,8,0,0.318003638
Am,244,1.75,1.12,243.06138,2284,13.69,,,,10,2.73,1449,1.3,18.08,194,5.993,9.93,95,26,3,7,2,0,0,7,9,0,0,0,7,7,0,0.318003638
Cm,245,,1.11,247.07035,3400,13.51,,,,,3.99,1618,1.3,18.08,194,6.02,27.17,96,28,3,7,2,0,1,7,10,0,0,9,7,16,0,0.318003638
D,,,,,,,,,,,,,,,,,,97,30,3,7,2,0,0,9,11,0,0,0,5,5,0,0.318003638
Cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
